Concurso;Data;bola 1;bola 2;bola 3;bola 4;bola 5;bola 6
2754;27/07/2024;55;10;44;14;56;58
2753;25/07/2024;46;55;6;31;52;26
2752;23/07/2024;15;24;44;40;4;47
2751;20/07/2024;42;18;53;13;52;4
2750;18/07/2024;11;7;36;52;19;12
2749;16/07/2024;27;38;43;8;44;25
2748;13/07/2024;19;52;46;50;43;32
2747;10/07/2024;28;14;36;45;24;17
2746;06/07/2024;30;22;27;51;43;56
2745;04/07/2024;7;11;2;52;57;5
2744;02/07/2024;34;25;33;10;26;38
2743;29/06/2024;27;37;25;53;13;30
2742;27/06/2024;11;2;25;37;32;57
2741;25/06/2024;42;33;1;35;39;56
2740;22/06/2024;17;41;34;13;47;16
2739;20/06/2024;53;25;19;45;47;37
2738;18/06/2024;44;46;2;60;19;25
2737;15/06/2024;30;20;37;34;16;45
2736;13/06/2024;35;26;24;11;17;43
2735;11/06/2024;47;53;59;46;5;33
2734;08/06/2024;48;35;60;59;21;27
2733;06/06/2024;20;14;56;39;21;44
2732;04/06/2024;18;49;1;60;16;3
2731;01/06/2024;49;12;58;32;4;45
2730;28/05/2024;46;29;41;60;24;7
2729;25/05/2024;47;54;20;41;27;53
2728;23/05/2024;2;43;11;9;25;51
2727;21/05/2024;51;39;4;32;57;48
2726;18/05/2024;59;27;53;55;49;45
2725;16/05/2024;47;33;32;38;2;10
2724;14/05/2024;24;54;26;21;11;42
2723;11/05/2024;6;12;28;60;19;50
2722;09/05/2024;36;25;44;23;19;46
2721;07/05/2024;48;9;11;46;10;25
2720;04/05/2024;43;15;42;16;23;8
2719;30/04/2024;42;25;48;27;16;30
2718;27/04/2024;41;34;59;46;30;6
2717;25/04/2024;36;6;50;34;22;44
2716;23/04/2024;48;27;28;49;20;5
2715;20/04/2024;25;19;53;7;50;46
2714;18/04/2024;17;45;57;42;52;16
2713;16/04/2024;58;9;23;35;25;26
2712;13/04/2024;35;19;7;40;42;15
2711;11/04/2024;36;55;14;38;60;46
2710;09/04/2024;44;50;25;42;5;6
2709;06/04/2024;22;12;23;47;24;53
2708;04/04/2024;19;11;12;10;28;23
2707;02/04/2024;39;9;11;54;7;57
2706;30/03/2024;45;24;17;30;10;11
2705;26/03/2024;35;2;47;22;27;16
2704;23/03/2024;3;25;31;10;7;52
2703;21/03/2024;56;3;35;11;38;7
2702;19/03/2024;40;46;6;20;13;34
2701;16/03/2024;6;18;47;31;32;15
2700;14/03/2024;11;19;28;20;1;48
2699;12/03/2024;31;23;49;54;9;58
2698;09/03/2024;60;2;18;35;45;19
2697;07/03/2024;25;42;13;11;10;27
2696;05/03/2024;13;39;55;4;59;18
2695;02/03/2024;40;33;34;17;15;32
2694;29/02/2024;41;22;7;20;58;29
2693;27/02/2024;50;29;44;11;46;45
2692;24/02/2024;56;33;55;45;9;59
2691;22/02/2024;15;28;40;37;57;13
2690;20/02/2024;43;45;9;28;55;33
2689;17/02/2024;16;48;52;47;9;20
2688;15/02/2024;12;33;41;46;17;54
2687;10/02/2024;2;30;34;4;24;50
2686;08/02/2024;6;41;12;43;20;59
2685;06/02/2024;51;46;9;31;47;16
2684;03/02/2024;26;45;53;48;46;17
2683;01/02/2024;3;57;27;1;47;23
2682;30/01/2024;29;4;17;58;30;52
2681;27/01/2024;47;20;30;42;53;10
2680;25/01/2024;45;57;3;11;42;46
2679;23/01/2024;26;7;38;51;18;20
2678;20/01/2024;16;54;13;37;10;18
2677;18/01/2024;3;54;7;34;42;32
2676;16/01/2024;14;4;19;29;22;6
2675;13/01/2024;34;45;31;26;42;1
2674;11/01/2024;46;23;15;21;14;8
2673;09/01/2024;35;45;52;4;27;56
2672;06/01/2024;40;10;13;20;56;43
2671;04/01/2024;53;43;19;16;58;57
